,Title,doi,Type,Categorie,Paper informations,Mail,Final informations,Code source,Script,Share,Comment,Link
,Beehive: Towards a Simple Abstraction for Scalable Software-Defined Networking,10.1145/2670518.2673864,Paper,Implementation,Complet,,Complet,Public,No need,Github,,http://github.com/kandoo/beehive  
,Anonymity on QuickSand: Using BGP to Compromise Tor,10.1145/2670518.2673869,Paper,Management/Security,Self contains,,,,,,,
,Good Network Updates for Bad Packets: Waypoint Enforcement Beyond Destination-Based Routing Policies,10.1145/2670518.2673873,Paper,Algorithm,Url fail,Response,Complet,Public,Public,.tgz by url,,http://www.net.t-labs.tu-berlin.de/~stefan/netup.tar.gz  
,DNS Resolvers Considered Harmful,10.1145/2670518.2673881,Paper,Seurity/Design,Self contains,,,,,,,
,Crowdsourcing Access Network Spectrum Allocation Using Smartphones,10.1145/2670518.2673866,Paper,,Partial,Response,Complet,Public,Private,Github and webplatform,We can add our experiment and get the result on webplatform,https://github.com/blue-systems-group/ 
,,,,,,,,,,,,https://phone-lab.org/experiment/request/ 
,PEERING: An AS for Us,10.1145/2670518.2673887,Paper,,Partial,Response,???,No available,No available,webplatform,Acces to a platform,http://peering.usc.edu  
,Infrastructure Mobility: A What-if Analysis,10.1145/2670518.2673862,Paper,,Partial,Response,Work in progress,No available,No available,,Fuller paper in submission,
,NetEgg: Programming Network Policies by Examples,10.1145/2670518.2673879,Paper,Implementation,Partial,Response,Complet,Private,Private,.tgz by mail,Privacyﾠbut give a tar,
,A Highly Available Software Defined Fabric,10.1145/2670518.2673884,Paper,Theoretical,Self contains,,,,,,,
,Tolerating SDN Application Failures with LegoSDN,10.1145/2670518.2673880,Paper,,Partial,Send,,,,,,
,InFrame: Multiflexing Full-Frame Visible Communication Channel for Humans and Devices,10.1145/2670518.2673867,Paper,Theoretical/implementation,Partial,Send,,,,,,
,Revisiting Resource Pooling: The Case for In-Network Resource Sharing,10.1145/2670518.2673875,Paper,Theoretical,Self contains,,,,,,,
,PIAS: Practical Information-Agnostic Flow Scheduling for Data Center Networks,10.1145/2670518.2673871,Paper,Design,Partial,Response,No plot,Public,No available,Github,Seems good to use PIAS but not to reproduce the paper,https://github.com/baiwei0427/PIAS 
,Theia: Simple and Cheap Networking for Ultra-Dense Data Centers,10.1145/2670518.2673885,Paper,Theoretical,Self contains,,,,,,,
,,,,,,,,,,,,
Hotnets-2013,Corybantic: towards the modular composition of SDN control programs,10.1145/2535771.2535795,Paper,Theoretical,Partial,Response,Irreproductible,Private,Private,,No open source,
,Applying operating system principles to SDN controller design,10.1145/2535771.2535789,Paper,Theoretical/implementation,Partial,Send,,,,,,
,Answering why-not queries in software-defined networks with negative provenance,10.1145/2535771.2535799,Paper,Theoretical,Partial,Send,,,,,,
,Full duplex backscatter,10.1145/2535771.2535785,Paper,Theoretical/Hardware,Hardware,,,,,,,
,Pharos: enable physical analytics through visible light based indoor localization,10.1145/2535771.2535790,Paper,Hardware,Hardware,,,,,,,
,Inaccurate spectrum databases?: public transit to its rescue!,10.1145/2535771.2535793,Paper,Hardware,Hardware,,,,,,,
,Give in to procrastination and stop prefetching,10.1145/2535771.2535784,Paper,Design,Partial,Send,,,,,,
,Tiny packet programs for low-latency network control and monitoring,10.1145/2535771.2535780,Paper,Implementation,Partial,Send,,,,,,
,Network stack specialization for performance,10.1145/2535771.2535779,Paper,Implementation,Partial,Send,,,,,,
,Network support for resource disaggregation in next-generation datacenters,10.1145/2535771.2535778,Paper,Design,Self contains,,,,,,,
,On the validity of geosocial mobility traces,10.1145/2535771.2535786,Paper,Measurement,Partial,Response,Irreproductible,,,,Need depth search,
,AdReveal: improving transparency into online targeted advertising,10.1145/2535771.2535783,Paper,Measurement,Partial,Send,,,,,,
,Towards comprehensive social sharing of recommendations: augmenting push with pull,10.1145/2535771.2535776,Paper,Recommendations,Self contains,,,,,,,
,Crypto-Book: an architecture for privacy preserving online identities,10.1145/2535771.2535798,Paper,Security,Complet,,Complet,Public,No need,Github,,http://www.crypto-book.com/ 
,,,,,,,,,,,,https://github.com/jyale/blackbox 
,Cross-path inference attacks on multipath TCP,10.1145/2535771.2535782,Paper,Security,Partial,Send,,,,,,
,On the risk of misbehaving RPKI authorities,10.1145/2535771.2535787,Paper,Design,Self contains,,,,,,,
,Active security,10.1145/2535771.2535794,Paper,Security,Partial,Send,,,,,,
,Toward a verifiable software dataplane,10.1145/2535771.2535777,Paper,Design,Self contains,,,,,,,
,No silver bullet: extending SDN to the data plane,10.1145/2535771.2535796,Paper,Design,Complet,,Complet,Public,No need,website,Nice website with step to follow,http://queue.acm.org/appendices/codel.html 
,,,,,,,,,,,,http://www.bufferbloat.net/projects/codel/wiki/Benchmarking_Codel_and_FQ_Codel?version=4
,,,,,,,,,,,, http://web.mit.edu/anirudh/www/sdn-data-plane.html
,On consistent updates in software defined networks,10.1145/2535771.2535791,Paper,Algorithm,Partial,Response,Complet,Public,Public,Github,,https://github.com/ratulm/consistency/tree/master/data
,Towards minimal-delay deadline-driven data center TCP,10.1145/2535771.2535788,Paper,Mathematical,Partial,Response,Complet,Public,Public,Github,,https://github.com/baiwei0427/PIAS/tree/master/mixedflow/
,Trevi: watering down storage hotspots with cool fountain codes,10.1145/2535771.2535781,Paper,Design,Partial,Response,Work in progress,No available,No available,,Too early in order to make reproducibility ,https://www.usenix.org/system/files/conference/nsdi15/nsdi15-paper-grosvenor_update.pdf
,,,,,,,,,,,,http://www.cl.cam.ac.uk/research/srg/netos/qjump/ 
,Patch panels in the sky: a case for free-space optics in data centers,10.1145/2535771.2535797,Paper,Design,Self contains,,,,,,,
,Managing the network with Merlin,10.1145/2535771.2535792,Paper,,,???,,,,,Where is Merlinﾠ?,
,How to improve your network performance by asking your provider for worse service,10.1145/2535771.2535775,Paper,Implementation,Partial,Response,Complet,Public,Public,Github,Really nice website step by step,http://netsys.github.io/RC3/
,,,,,,,,,,,,https://github.com/NetSys/rc3-linux
,Plinko: building provably resilient forwarding tables,10.1145/2535771.2535774,Paper,Design,Partial,Send,,,,,,
,,,,,,,,,,,,
SIGCOMM-2014,Millions of little minions: using packets for low latency network programming and visibility,10.1145/2619239.2626292,Paper,Implementation,Partial,Response,Complet,Public,Public,Github,Nice repository with instruction,https://bitbucket.org/jvimal/tpp-ovs
,,,,,,,,,,,,https://bitbucket.org/jvimal/tpp-ovs/src/master/plot_scripts/ 
,SAX-PAC (Scalable And eXpressive PAcket Classification),10.1145/2619239.2626294,Paper,Design,Self contains,,,,,,,
,Duet: cloud scale load balancing with hardware and software,10.1145/2619239.2626317,Paper,Implementation,Partial,Response,Irreproductible,Private,Private,,Microsoft proprietary,
,Guarantee IP lookup performance with FIB explosion,10.1145/2619239.2626297,Paper,Implementation,Partial,Response,,,,,,http://fi.ict.ac.cn/firg.php?n=PublicationsAmpTalks.OpenSource
,From the consent of the routed: improving the transparency of the RPKI,10.1145/2619239.2626293,Paper,Design,Self contains,,,,,,,
,Network neutrality inference,10.1145/2619239.2626308,Paper,Measurement,Partial,Response,Complet,Public,Public,website,Wonderful instruction,http://wiki.epfl.ch/line/documents/line.html
,,,,,,,,,,,,http://wiki.epfl.ch/line/documents/experiments-neutrality-inference.html
,,,,,,,,,,,,http://nal.epfl.ch/page-115015.html
,Balancing accountability and privacy in the network,10.1145/2619239.2626306,Paper,Design,Self contains,,,,,,,
,Measuring IPv6 adoption,10.1145/2619239.2626295,Paper,Measurement,Partial,Response,Irreproductible,Private,Private,,,
,One tunnel is (often) enough,10.1145/2619239.2626318,Paper,Design/Implementation,Partial,Response,Irreproductible,Private,Private,,Privacy,
,YouSlow: a performance analysis tool for adaptive bitrate video streaming,10.1145/2619239.2631433,Poster,Measurement,Complet,,,,,,YouSlow is a web browser plugin,https://chrome.google.com/webstore/detail/youtube-too-slow/agpnjngphbdlfoeoglcamjgabcocpobi
,RPKI vs ROVER: comparing the risks of BGP security solutions,10.1145/2619239.2631435,Poster,Security,Self contains,,,,,,,http://eprint.iacr.org/2014/444.pdf
,CTE: cost-effective intra-domain traffic engineering,10.1145/2619239.2631438,Poster,Implementation,Partial,Response,Irreproductible,Private,Private,,,
,Traffic statistics collection with FleXam,10.1145/2619239.2631441,Poster,Measurement,Partial,Wait,,,,,,
,Identifying traffic differentiation on cellular data networks,10.1145/2619239.2631445,Poster,Implementation/Measurement,Partial,Send,,,,,,
,NIMBUS: cloud-scale attack detection and mitigation,10.1145/2619239.2631446,Poster,Implementation,Partial,Send,,,,,,
,A user behavior based cheat detection mechanism for crowdtesting,10.1145/2619239.2631447,Poster,Implementation,Partial,Send,,,,,,
,ESCAPE: extensible service chain prototyping environment using mininet click NETCONF and POX,10.1145/2619239.2631448,Poster,Design,Self contains,,,,,,,
,Sampling online social networks: an experimental study of twitter,10.1145/2619239.2631452,Poster,Measurement,Partial,Response,Complet,No need,API changed,Website,Work on reproducibility,http://www-sop.inria.fr/members/Arnaud.Legout/Projects/sotweet.html
,Mahimahi: a lightweight toolkit for reproducible web measurement,10.1145/2619239.2631455,Poster,Measurement,Complet,,Complet,Public,Public,Github,,http://mahimahi.mit.edu/
,,,,,,,,,,,,https://github.com/ravinet/sites
,,,,,,,,,,,,http://developer.android.com/tools/devices/emulator.html
,,,,,,,,,,,,https://github.com/keithw/mahimahi
,A time for reliability: the growing importance of being always on,10.1145/2619239.2631460,Poster,Measurement,Partial,Send ,,,,,,
,Vivisecting whatsapp through large-scale measurements in mobile networks,10.1145/2619239.2631461,Poster,Measurement,Partial,Send,,,,,,
,Behind the curtain: the importance of replica selection in next generation cellular networks,10.1145/2619239.2631465,Poster,Measurement,Partial,Send,,,,,,
,A cliq of content curators,10.1145/2619239.2631470,Poster,Implementation,Partial,Send,,,,,,
,SOUP: an online social network by the people for the people,10.1145/2619239.2631432,Poster,Design,Self contains,,,,,,,
,AI3: application-independent information infrastructure,10.1145/2619239.2631424,Poster,Design,Self contains,,,,,,,
,Demonstrating the prospects of dynamic application-aware networking in a home environment,10.1145/2619239.2631450,Poster,Implementation,Partial,Wait,,,,,,
,A Middlebox-Cooperative TCP for a non End-to-End Internet,,Paper,Implementation,Complet,,Complet,Public,Public,Website,,http://www.cmand.org/hiccups/
,OpenNF: enabling innovation in network function control,10.1145/2619239.2626313,Paper,Design/Implementation,Complet,,,,,,,http://opennf.cs.wisc.edu/
,Network stack specialization for performance,10.1145/2619239.2626311,Paper,Measurement,Partial,Response,,Private but can share,,,No public release but can send only for me the source code,
,A buffer-based approach to rate adaptation: evidence from a large video streaming service,10.1145/2619239.2626296,Paper,Implementation,Partial,Send,,,,,,
,FastForward: fast and constructive full duplex relays,10.1145/2619239.2626327,Paper,Implementation,Partial,Send,,,,,,
,LTE radio analytics made easy and accessible,10.1145/2619239.2626320,Paper,Measurement,Partial,Send,,,,,,
,Control-plane protocol interactions in cellular networks,10.1145/2619239.2626302,Paper,,Partial,Send,,,,,,
,RF-IDraw: virtual touch screen in the air using RF signals,10.1145/2619239.2626330,Paper,Implementation,Partial,Response,Irreproductible,Private,Private,,,
,Diagnosing missing events in distributed systems with negative provenance,10.1145/2619239.2626335,Paper,Design,Partial,Send,,,,,,
,Troubleshooting blackbox SDN control software with minimal causal sequences,10.1145/2619239.2626304,Paper,Implementation,Partial,Response,Complet,Public,Public,Github/Website,"Good repository, explain on dependency and nice wwebsite to reproduce experiment",https://github.com/ucb-sts/sts
,,,,,,,,,,,,http://ucb-sts.github.io/experiments/
,Planck: millisecond-scale monitoring and control for commodity networks,10.1145/2619239.2626310,Paper,Design,Partial,Send,,,,,,
,DREAM: dynamic resource allocation for software-defined measurement,10.1145/2619239.2626291,Paper,Measurement,Partial,Response,Complet,Public,Public,Github/Website,Good repository and nice google doc to reproduce experiment,https://github.com/USC-NSL/DREAM
,,,,,,,,,,,,https://docs.google.com/document/d/16p2uB_37bZjSvxVjcYpidFw0iRtyNITkvgGkGHPGNCY/edit#heading=h.osb53vqbxb1n 
,Quartz: a new design element for low-latency DCNs,10.1145/2619239.2626332,Paper,,Partial,Send,,,,,,
,Using RDMA efficiently for key-value services,10.1145/2619239.2626299,Paper,Design,Partial,Response,Complet,Public,Public,Github,,https://github.com/efficient/HERD
,,,,,,,,,,,,apt.emulab.net
,"Fastpass: a centralized ""zero-queue"" datacenter network",10.1145/2619239.2626309,Paper,Implementation,Complet,,,,,,,http://fastpass.mit.edu/
,FireFly: a reconfigurable wireless data center fabric using free-space optics,10.1145/2619239.2626328,Paper,,Partial,Send,,,,,,
,"A ""hitchhiker's"" guide to fast and efficient data reconstruction in erasure-coded data centers",10.1145/2619239.2626325,Paper,Design,Partial,Response,Irreproductible,Private,No maintained,,,
,Enabling near real-time central control for live video delivery in CDNs,10.1145/2619239.2631444,Poster,Design,Partial,Response,Irreproductible,Private,Private,,,
,NetAssay: providing new monitoring primitives for network operators,10.1145/2619239.2631451,Poster,Design,Self contains,,,,,,,
,OpenSAN: a software-defined satellite network architecture,10.1145/2619239.2631454,Poster,Design,Self contains,,,,,,,
,SENSS: observe and control your own traffic in the internet,10.1145/2619239.2631459,Poster,Design,Partial,Response,Work in progress,Public,Private,Website,Script available when conference paper published,http://steel.isi.edu/Projects/SENSS/
,Locating throughput bottlenecks in home networks,10.1145/2619239.2631440,Poster,Design,Self contains,,,,,,,
,OpenANFV: accelerating network function virtualization with a consolidated framework in openstack,10.1145/2619239.2631426,Poster,Implementation,Partial,Send,,,,,,
,Towards the super fluid cloud,10.1145/2619239.2631449,Poster,Design,Self contains,,,,,,,
,Ziria: language for rapid prototyping of wireless PHY,10.1145/2619239.2631427,Poster,Design,Self contains,,,,,,,
,Demonstrating the optimal placement of virtualized cellular network functions in case of large crowd events,10.1145/2619239.2631428,Poster,Design,Self contains,,,,,,,
,Tracing multipath TCP connections,10.1145/2619239.2631453,Poster,Measurement,Complet,,,,,,,
,Demo: a virtualized lab testbed with physical network outlets for hands-on computer networking education,10.1145/2619239.2631429,Poster,Lab,Complet,,,,,,,
,Rethinking congestion control architecture: performance-oriented congestion control,10.1145/2619239.2631456,Poster,Measurement,Partial,Response,Partial,Public,Private,Github,,https://github.com/modong/pcc
,,,,,,,,,,,,http://speedier.net/pcc/
,DOT: distributed OpenFlow testbed,10.1145/2619239.2631457,Poster,Implementation,Complet,,,,,,,
,Evaluating the effect of centralization on routing convergence on a hybrid BGP-SDN emulation framework,10.1145/2619239.2631458,Poster,Implementation,Partial,Response,Complet,Public,Public,Bitbucket,,https://bitbucket.org/gaadrian/siren/downloads
,Droid-Sec: deep learning in android malware detection,10.1145/2619239.2631434,Poster,Design,Complet,,Complet,Public,Public,Website,Nice step by step web site,https://code.google.com/p/droidbox/
,Accelerating incast and multicast traffic delivery for data-intensive applications using physical layer optics,10.1145/2619239.2631436,Poster,Hardware,Hardware,,,,,,,
,Social SDN: online social networks integration in wireless network provisioning,10.1145/2619239.2631437,Poster,Design,Self contains,,,,,,,
,Flow-level state transition as a new switch primitive for SDN,10.1145/2619239.2631439,Poster,Design,Partial,Response,Partial,Public,No available,,,https://github.com/guptaadhip/openvswitchfast
,,,,,,,,,,,,https://github.com/guptaadhip/fast
,T-DNS: connection-oriented DNS to improve privacy and security (poster abstract),10.1145/2619239.2631442,Poster,Implementation,Partial,Response,Partial,Public,Private,,,https://ant.isi.edu/software/tdns/index.html
,,,,,,,,,,,,https://ant.isi.edu/datasets/all.html
,,,,,,,,,,,,http://www.isi.edu/~johnh/PAPERS/Zhu15b/index.html
,Extending the software-defined network boundary,10.1145/2619239.2631443,Poster,Design,Self contains,Send,,,,,,
,A global name service for a highly mobile internetwork,10.1145/2619239.2626331,Paper,Design,Complet,,,,,,,https://gns.name/
,Towards a quantitative comparison of location-independent network architectures,10.1145/2619239.2626333,Paper,Measurement,Complet,,,,,,,
,Lightweight source authentication and path validation,10.1145/2619239.2626323,Paper,Implementation,Partial,Response,Irreproductible,Private,Private,,,
,Decentralized task-aware scheduling for data center networks,10.1145/2619239.2626322,Paper,Design/Implementation,Partial,Response,Irreproductible,Private,Private,,,
,Efficient coflow scheduling with Varys,10.1145/2619239.2626315,Paper,Implementation,Partial,Response,Complet,Public,Public,Github,Nice repository,github.com/coflow/varys
,,,,,,,,,,,,github.com/coflow/coflowsim
,Multi-resource packing for cluster schedulers,10.1145/2619239.2626334,Paper,Design/Implementation,Partial,Response,Complet,Public,Public,,,https://github.com/apache/spark
,,,,,,,,,,,,https://issues.apache.org/jira/browse/YARN-2745
,,,,,,,,,,,,http://research.microsoft.com/en-us/UM/redmond/projects/tetris/index.html#Download
,Application-driven bandwidth guarantees in datacenters,10.1145/2619239.2626326,Paper,Design/Implementation,Partial,Send,,,,,,
,Vidyut: exploiting power line infrastructure for enterprise wireless networks,10.1145/2619239.2626329,Paper,Design/Implementation,Partial,Send,,,,,,
,Wi-fi backscatter: internet connectivity for RF-powered devices,10.1145/2619239.2626319,Paper,Hardware,Hardware,,,,,,,
,Turbocharging ambient backscatter communication,10.1145/2619239.2626312,Paper,Hardware,Hardware,,,,,,,
,Geosphere: consistently turning MIMO capacity into throughput,10.1145/2619239.2626301,Paper,Design/Implementation,Partial,Send,,,,,,
,Calendaring for wide area networks,10.1145/2619239.2626336,Paper,Design,Partial,Response,Irreproductible,Private,Private,,Patented algorithm,
,Traffic engineering with forward fault correction,10.1145/2619239.2626314,Paper,Design/Implementation,Partial,Send,,,,,,
,Dynamic scheduling of network updates,10.1145/2619239.2626307,Paper,Design,Partial,Response,Work in progress,Private,Private,,Will release the code in the futur,
,SDX: a software defined internet exchange,10.1145/2619239.2626300,Paper,Implementation,Complet,,Complet,Public,Public,,Really nice repository,https://github.com/sdn-ixp/sdx-pyretic
,A network-state management service,10.1145/2619239.2626298,Paper,Design/Implementation,Partial,Response,Irreproductible,Private,Private,,Production-level code,
,VIRL: the virtual internet routing lab,10.1145/2619239.2631463,Poster,Labs,Self contains,,,,,,,
,SDX: a software defined internet exchange,10.1145/2619239.2631473,Poster,Design,Complet,,Complet,Public,Public,,,https://github.com/sdn-ixp/sdx-platform
,Toward a biometric-aware cloud service engine for multi-screen video applications,10.1145/2619239.2631430,Poster,Design,Partial,Send,,,,,,
,SDN-based live VM migration across datacenters,10.1145/2619239.2631431,Poster,Design ,Partial,Send,,,,,,
,Characterizing botnets-as-a-service,10.1145/2619239.2631464,Poster,Measurement,Partial,Send,,,,,,
,Aerial wireless localization using target-guided flight route,10.1145/2619239.2631466,Poster,Design,Partial,Send,,,,,,
,An educational networking framework for full layer implementation and testing,10.1145/2619239.2631467,Poster,Design,Self contains,,,,,,,
,Drawbridge: software-defined DDoS-resistant traffic engineering,10.1145/2619239.2631469,Poster,Design,Self contains,,,,,,,
,DesktopDC: setting all programmable data center networking testbed on desk,10.1145/2619239.2631472,Poster,Design,Self contains,,,,,,,
,Native Actors: How to Scale Network Forensics,,Poster,Design,Self contains,,,,,,,
,An experimental study of the learnability of congestion control,10.1145/2619239.2626324,Paper,Design/Implementation,Partial,Response,Complet,Public,Public,,Nice repository,https://github.com/pratiksha/learnability-reproduce
,,,,,,,,,,,,https://github.com/keithw/remy/
,,,,,,,,,,,,https://github.com/pratiksha/ns2.35/
,Friends not foes: synthesizing existing transport strategies for data center networks,10.1145/2619239.2626305,Paper,Design/Implementation,Partial,Response,Partial,Public,Partial,,Not have all script,https://www.msu.edu/~munirali/pase.html
,CONGA: distributed congestion-aware load balancing for datacenters,10.1145/2619239.2626316,Paper,Design/Implementation,Partial,Send,,,,,,
,,,,,,,,,,,,
SIGCOMM-2013,B4: experience with a globally-deployed software defined wan,10.1145/2486001.2486019,Paper,Design/Implementation,Partial,Send,,,,,,
,Achieving high utilization with software-driven WAN,10.1145/2486001.2486012,Paper,Design/Implementation,Partial,Send,,,,,,
,SIMPLE-fying middlebox policy enforcement using SDN,10.1145/2486001.2486022,Paper,Design/Implementation,Partial,Send,,,,,,
,Ambient backscatter: wireless communication out of thin air,10.1145/2486001.2486015,Paper,Hardware,Hardware,,,,,,,
,Dude where's my card?: RFID positioning that works with multipath and non-line of sight,10.1145/2486001.2486029,Paper,Design/Implementation,Partial,Send,,,,,,
,Dhwani: secure peer-to-peer acoustic NFC,10.1145/2486001.2486037,Paper,Design/Implementation,Partial,Send,,,,,,
,See through walls with WiFi!,10.1145/2486001.2486039,Paper,Design/Implementation,Partial,Send,,,,,,
,In-network caching assisted wireless AP storage management: challenges and algorithms,10.1145/2486001.2491706,Poster,Algorithm,Self contains,,,,,,,
,CSPAN: cost-effective geo-replicated storage spanning multiple cloud services,10.1145/2486001.2491707,Poster,Design,Self contains,,,,,,,
,Replication free rule grouping for packet classification,10.1145/2486001.2491709,Poster,Algorithm,Self contains,,,,,,,
,A (not) NICE way to verify the openflow switch specification: formal modelling of the openflow switch using alloy,10.1145/2486001.2491711,Poster,Design,Self contains,,,,,,,
,The contagion of malicious behaviors in online games,10.1145/2486001.2491712,Poster,Measurement,Partial,Send,,,,,,
,An empirical study of analog channel feedback,10.1145/2486001.2486018,Poster,Measurement,Partial,Send,,,,,,
,Toward content-centric privacy in ICN: attribute-based encryption and routing,10.1145/2486001.2491717,Poster,Design,Self contains,,,,,,,
,Don't drop detour!,10.1145/2486001.2491718,Poster,Measurement,Partial,Send,,,,,,
,Using DAIM as a reactive interpreter for openflow networks to enable autonomic functionality,10.1145/2486001.2491721,Poster,Design,Self contains,,,,,,,
,M2cloud: software defined multi-site data center network control framework for multi-tenant,10.1145/2486001.2491725,Poster,Design,Partial,Send,,,,,,
,To 4000 compute nodes and beyond: network-aware vertex placement in large-scale graph processing systems,10.1145/2486001.2491726,Poster,Design,Self contains,,,,,,,
,Collaborative caching based on hash-routing for information-centric networking,10.1145/2486001.2491727,Poster,Design,Partial,Send,,,,,,
,Greedy forwarding for mobile social networks embedded in hyperbolic spaces,10.1145/2486001.2491728,Poster,Design,Partial,Send,,,,,,
,OpenRAN: a software-defined ran architecture via virtualization,10.1145/2486001.2491732,Poster,Design,Self contains,,,,,,,
,Supporting application-specific in-network processing in data centres,10.1145/2486001.2491733,Poster,Design,Self contains,,,,,,,
,Design and implementation of a framework for software-defined middlebox networking,10.1145/2486001.2491686,Poster,Design,Self contains,,,,,,,
,Whole-home gesture recognition using wireless signals (demo),10.1145/2486001.2491687,Poster,Design,Self contains,,,,,,,
,Locating using prior information: wireless indoor localization algorithm,10.1145/2486001.2491688,Poster,Design,Partial,Response,Irreproductible,Private,Private,,,https://www.youtube.com/watch?v=ir2KsIoeHMg
,Automated configuration and measurement of emulated networks with AutoNetkit,10.1145/2486001.2491692,Poster,Management ,Self contains,,,,,,,
,Security risks evaluation toolbox for smart grid devices,10.1145/2486001.2491693,Poster,Design,Self contains,,,,,,,
,Qphone: a quantum security VoIP phone,10.1145/2486001.2491696,Poster,Hardware,Hardware,,,,,,,
,A large-scale multipath playground for experimenters and early adopters,10.1145/2486001.2491698,Poster,Design,Complet,,Complet,Public,Public,Github,,http://github.com/nemethf/sigcomm2013
,Application-awareness in SDN,10.1145/2486001.2491700,Poster,Design,Partial,Send,,,,,,
,HomeLab: a platform for conducting experiments with connected devices in the home,10.1145/2486001.2491701,Poster,Tools,Self contains,,,,,,,
,OMware: an open measurement ware for stable residential broadband measurement,10.1145/2486001.2491702,Poster,Tools,Partial,Response,Irreproductible,Private,Private,,Privacy but omware is updated in kTRxer which will be open source,
,Cloud3DView: an interactive tool for cloud data center operations,10.1145/2486001.2491704,Poster,Implementation,Partial,Send,,,,,,
,Maple: simplifying SDN programming using algorithmic policies,10.1145/2486001.2486030,Paper,Design,Partial,Send,,,,,,
,Forwarding metamorphosis: fast programmable match-action processing in hardware for SDN,10.1145/2486001.2486011,Paper,Hardware,Hardware,,,,,,,
,Compressing IP forwarding tables: towards entropy bounds and beyond,10.1145/2486001.2486009,Paper,Design,Self contains,,,,,,,
,TCP ex machina: computer-generated congestion control,10.1145/2486001.2486020,Paper,Implementation/Measurement,Partial,Response,Complet,Public,Public,Website,Really nice repository,http://web.mit.edu/remy/
,FCP: a flexible transport framework for accommodating diversity,10.1145/2486001.2486004,Paper,Management ,Partial,Response,Irreproductible,Public,No available,,,http://ina.kaist.ac.kr/~dongsuh/paper/fcp-ns2-all.tar.gz
,Less pain most of the gain: incrementally deployable ICN,10.1145/2486001.2486023,Paper,Measurement,Partial,Response,Partial,Public,No available,,URL website down due to old apache,https://github.com/JRBANCEL/Chromagnon
,,,,,,,,,,,,http://www.idicn.org/
,Reducing web latency: the virtue of gentle aggression,10.1145/2486001.2486014,Paper,Measurement,Partial,Send,,,,,,
,BGP security in partial deployment: is the juice worth the squeeze?,10.1145/2486001.2486010,Paper,Security,Self contains,,,,,,,
,PoiRoot: investigating the root cause of interdomain path changes,10.1145/2486001.2486036,Paper,Implementation,Partial,Send,,,,,,
,Verifiable auctions for online ad exchanges,10.1145/2486001.2486038,Paper,Measurement,Partial,Response,Complet,Public,Public,Github,Nice step by step README,https://github.com/sga001/vex/
,,,,,,,,,,,Sebs : vexvmpassword,https://drive.google.com/file/d/0B4S_kXaUiXdVRFEwaVh4UDh0NWs/view?usp=sharing
,Ananta: cloud scale load balancing,10.1145/2486001.2486026,Paper,Implementation,Partial,Response,Irreproductible,Private,Private,,,
,Speeding up distributed request-response workflows,10.1145/2486001.2486028,Paper,Design/Measurement,Partial,Response,Irreproductible,Private,Private,,,
,Leveraging endpoint flexibility in data-intensive clusters,10.1145/2486001.2486021,Paper,Design,Partial,Response,Complet,Public,Public,,,https://github.com/mosharaf/sinbad
,Characterizing correlated latency anomalies in broadband access networks,10.1145/2486001.2491734,Poster,Tools,Self contains,,,,,,,
,Towards fast regular expression matching in practice,10.1145/2486001.2491705,Poster,Implementation/Measurement,Partial,Send,,,,,,
